cpu_usage,memory_usage,latency,packet_loss,bandwidth,device_type,location,health_status
69,39,74,3.62,65,Switch,Datacenter,Critical
75,49,63,2.53,76,Firewall,Branch Office,Warning
39,56,104,2.88,19,Firewall,Datacenter,Critical
13,76,21,2.14,94,Firewall,HQ,Warning
18,74,4,2.4,52,Router,HQ,Warning
55,65,106,3.63,88,Router,HQ,Critical
58,80,83,3.76,43,Firewall,HQ,Critical
53,43,93,2.99,24,Firewall,HQ,Critical
89,28,97,4.97,15,Firewall,Datacenter,Critical
8,13,36,0.68,42,Router,Datacenter,Healthy
29,58,55,2.26,91,Switch,HQ,Warning
24,46,4,3.51,67,Switch,Datacenter,Critical
32,31,80,1.82,48,Switch,Branch Office,Warning
39,94,65,3.45,39,Router,HQ,Critical
36,95,77,3.17,98,Router,Branch Office,Critical
90,82,111,2.61,10,Firewall,Branch Office,Critical
84,49,53,4.34,46,Switch,Branch Office,Critical
73,94,81,4.43,91,Router,HQ,Critical
69,57,35,2.39,44,Firewall,Datacenter,Warning
58,33,119,0.47,14,Switch,HQ,Critical
82,67,17,1.59,72,Switch,Branch Office,Warning
53,10,23,1.91,55,Switch,HQ,Warning
80,32,89,0.68,34,Switch,Datacenter,Warning
23,29,116,1.17,10,Switch,HQ,Critical
40,72,12,2.65,31,Switch,Datacenter,Warning
8,74,86,0.9,57,Switch,Datacenter,Warning
89,69,59,2.92,72,Firewall,Branch Office,Critical
87,93,54,4.43,54,Switch,Datacenter,Critical
71,70,97,4.2,94,Switch,HQ,Critical
44,17,66,3.59,71,Switch,Branch Office,Critical
57,93,6,1.1,55,Firewall,Datacenter,Critical
11,42,10,1.13,66,Router,Branch Office,Warning
87,60,33,4.85,71,Router,Branch Office,Critical
90,23,3,4.17,26,Router,Datacenter,Critical
72,50,46,1.25,61,Router,Datacenter,Warning
93,16,93,4.29,40,Firewall,Branch Office,Critical
59,15,18,4.06,70,Firewall,Datacenter,Critical
15,79,50,1.51,16,Firewall,Datacenter,Warning
5,65,84,2.95,95,Switch,Datacenter,Warning
71,30,1,0.18,92,Switch,Branch Office,Warning
7,92,91,4.85,39,Firewall,Datacenter,Critical
52,70,38,4.28,100,Router,Branch Office,Critical
39,74,55,0.76,87,Firewall,Datacenter,Warning
93,91,52,0.6,23,Router,HQ,Critical
12,91,40,0.83,57,Router,HQ,Critical
12,90,110,0.7,63,Firewall,Branch Office,Critical
9,39,11,0.78,78,Firewall,Branch Office,Healthy
70,12,104,0.69,57,Switch,HQ,Critical
9,88,14,0.95,37,Router,HQ,Warning
18,41,46,0.55,15,Router,Datacenter,Healthy
67,10,38,3.57,56,Switch,Branch Office,Critical
63,56,89,2.66,65,Firewall,Datacenter,Warning
29,38,25,0.17,73,Firewall,Datacenter,Healthy
92,59,13,1.72,97,Firewall,Datacenter,Critical
95,34,78,3.31,85,Router,Datacenter,Critical
94,57,90,2.71,53,Firewall,Branch Office,Critical
18,66,120,4.35,32,Firewall,HQ,Critical
20,13,119,2.11,40,Switch,Branch Office,Critical
70,89,100,0.44,37,Router,HQ,Critical
38,95,88,3.51,87,Switch,Branch Office,Critical
50,74,85,2.22,12,Firewall,Datacenter,Warning
39,79,95,1.7,33,Switch,HQ,Critical
82,77,83,4.83,91,Switch,HQ,Critical
86,34,110,3.98,35,Router,HQ,Critical
42,60,13,3.05,43,Router,Branch Office,Critical
56,31,105,0.87,39,Router,Datacenter,Critical
55,83,62,4.64,76,Firewall,HQ,Critical
57,56,81,1.2,46,Switch,HQ,Warning
72,45,66,3.49,80,Switch,Branch Office,Critical
48,20,65,3.25,50,Firewall,HQ,Critical
24,12,80,3.91,100,Switch,Branch Office,Critical
44,64,37,1.23,78,Switch,Branch Office,Warning
55,24,73,4.11,34,Firewall,Datacenter,Critical
30,75,51,1.3,37,Switch,Branch Office,Warning
81,31,90,1.72,65,Switch,Branch Office,Warning
71,94,14,1.22,55,Router,Branch Office,Critical
32,78,74,0.17,95,Router,Datacenter,Warning
75,52,67,1.05,49,Firewall,Branch Office,Warning
69,16,63,2.64,72,Firewall,Datacenter,Warning
61,57,52,2.16,66,Switch,Branch Office,Warning
80,70,61,4.62,41,Router,Datacenter,Critical
60,31,36,1.2,52,Router,HQ,Warning
73,59,11,4.47,70,Firewall,Branch Office,Critical
10,79,76,3.6,37,Firewall,HQ,Critical
49,54,114,2.78,69,Router,Branch Office,Critical
55,29,46,2.21,64,Firewall,Datacenter,Warning
26,65,115,2.4,15,Router,Datacenter,Critical
41,32,7,1.73,32,Firewall,Datacenter,Warning
19,71,79,4.38,90,Switch,Datacenter,Critical
12,76,16,3.84,29,Router,Branch Office,Critical
68,86,109,4.01,100,Firewall,Datacenter,Critical
56,77,96,1.68,20,Switch,Branch Office,Critical
25,60,87,2.48,100,Router,HQ,Warning
45,12,85,0.77,27,Firewall,Branch Office,Warning
41,49,76,3.85,53,Router,Branch Office,Critical
15,20,100,2.36,49,Switch,HQ,Critical
6,19,46,4.1,19,Switch,HQ,Critical
86,70,10,3.97,24,Switch,Branch Office,Critical
57,92,98,3.89,59,Router,Branch Office,Critical
70,94,40,1.57,69,Firewall,Branch Office,Critical
31,65,6,2.39,85,Router,Branch Office,Warning
62,95,50,1.12,37,Firewall,Branch Office,Critical
59,54,2,2.54,80,Switch,HQ,Warning
16,85,82,1.63,43,Firewall,HQ,Warning
81,75,63,2.94,68,Firewall,HQ,Warning
6,64,103,1.35,30,Router,Branch Office,Critical
25,50,6,2.09,20,Router,HQ,Warning
88,34,16,2.61,52,Switch,Branch Office,Critical
95,33,8,2.47,38,Firewall,Branch Office,Critical
65,92,28,1.69,29,Router,Branch Office,Critical
28,52,13,3.27,34,Firewall,Datacenter,Critical
17,35,62,0.18,30,Switch,Datacenter,Warning
29,25,86,2.01,44,Switch,HQ,Warning
54,14,9,3.47,40,Router,HQ,Critical
28,85,66,0.65,89,Switch,Branch Office,Warning
69,12,117,3.97,20,Router,HQ,Critical
89,28,77,3.56,34,Switch,Datacenter,Critical
16,74,55,2.3,30,Router,HQ,Warning
22,33,23,2.44,30,Router,Branch Office,Warning
94,51,69,4.41,91,Router,Branch Office,Critical
95,62,111,0.4,71,Router,Datacenter,Critical
80,42,118,3.5,61,Switch,Branch Office,Critical
6,21,114,0.5,53,Firewall,Datacenter,Critical
76,43,37,3.19,20,Router,HQ,Critical
26,72,4,0.73,36,Router,HQ,Warning
47,87,21,4.98,62,Router,Datacenter,Critical
42,48,34,4.58,45,Switch,Branch Office,Critical
66,88,3,3.86,99,Router,Datacenter,Critical
16,33,2,1.06,90,Router,HQ,Warning
34,76,42,0.02,75,Router,HQ,Warning
91,33,10,3.66,73,Router,Branch Office,Critical
17,32,15,0.68,72,Switch,Datacenter,Healthy
67,69,12,3.17,64,Switch,Branch Office,Critical
73,16,80,1.51,52,Switch,HQ,Warning
65,21,27,1.88,68,Router,Branch Office,Warning
41,42,106,2.4,64,Firewall,HQ,Critical
21,94,56,3.83,94,Switch,HQ,Critical
24,12,13,3.83,11,Firewall,HQ,Critical
68,74,78,0.76,40,Firewall,Datacenter,Warning
19,86,45,1.39,10,Firewall,Branch Office,Warning
44,14,111,1.51,94,Firewall,Branch Office,Critical
65,66,102,3.76,75,Switch,Datacenter,Critical
90,74,79,3.06,10,Firewall,Datacenter,Critical
32,56,66,1.5,55,Switch,HQ,Warning
49,82,91,0.52,24,Firewall,HQ,Critical
21,35,12,3.27,11,Firewall,Branch Office,Critical
87,55,95,0.65,10,Router,Datacenter,Critical
35,30,45,1.85,56,Switch,HQ,Warning
20,70,4,4.06,10,Firewall,Datacenter,Critical
62,21,61,2.19,40,Firewall,Datacenter,Warning
47,47,112,2.9,78,Switch,HQ,Critical
43,28,31,4.89,85,Firewall,Branch Office,Critical
29,37,39,0.2,88,Firewall,HQ,Healthy
57,94,27,1.09,63,Router,HQ,Critical
29,75,4,4.55,88,Router,HQ,Critical
96,84,42,3.45,94,Switch,HQ,Critical
5,45,74,4.33,70,Switch,Branch Office,Critical
39,74,32,4.82,59,Switch,Branch Office,Critical
48,82,50,1.83,14,Switch,HQ,Warning
14,20,32,2.53,64,Switch,Datacenter,Warning
38,50,29,0.61,94,Router,HQ,Healthy
36,78,66,1.3,50,Router,Datacenter,Warning
86,44,23,2.46,51,Router,Datacenter,Critical
19,23,37,3.75,69,Switch,Datacenter,Critical
35,39,58,3.95,19,Firewall,HQ,Critical
22,54,84,2.16,11,Firewall,Branch Office,Warning
24,30,50,4.05,46,Router,HQ,Critical
41,49,3,2.78,63,Firewall,Branch Office,Warning
67,72,115,4.86,68,Firewall,HQ,Critical
42,90,117,1.33,16,Switch,Datacenter,Critical
31,64,81,1.58,19,Router,Branch Office,Warning
22,39,27,3.78,89,Firewall,HQ,Critical
33,14,29,3.16,59,Firewall,HQ,Critical
22,71,63,2.03,94,Firewall,Datacenter,Warning
19,43,65,3.45,44,Firewall,Datacenter,Critical
58,53,41,2.83,47,Firewall,HQ,Warning
10,20,52,4.52,68,Firewall,Branch Office,Critical
62,12,40,1.56,85,Switch,HQ,Warning
13,53,39,1.42,68,Switch,Datacenter,Warning
74,48,12,2.82,82,Router,Branch Office,Warning
67,70,28,2.34,59,Switch,Branch Office,Warning
45,56,82,1.53,51,Router,Branch Office,Warning
70,32,36,0.0,55,Router,Branch Office,Warning
85,27,119,0.02,46,Firewall,Datacenter,Critical
94,94,89,4.79,85,Switch,Datacenter,Critical
57,89,111,4.32,30,Switch,HQ,Critical
15,93,86,3.33,26,Router,Datacenter,Critical
95,86,99,1.79,12,Firewall,HQ,Critical
37,48,25,0.63,64,Switch,Datacenter,Healthy
47,62,61,4.03,95,Firewall,Datacenter,Critical
33,10,76,0.07,81,Router,HQ,Warning
21,93,49,1.71,32,Firewall,HQ,Critical
82,60,22,3.7,88,Firewall,HQ,Critical
97,68,36,1.4,41,Firewall,Datacenter,Critical
35,20,13,3.66,16,Firewall,Datacenter,Critical
11,40,43,2.57,80,Router,Branch Office,Warning
32,14,13,2.68,76,Switch,Datacenter,Warning
97,15,105,4.98,83,Switch,Branch Office,Critical
93,82,45,4.84,12,Router,Datacenter,Critical
76,88,116,2.11,78,Firewall,Branch Office,Critical
39,62,78,2.03,27,Firewall,Datacenter,Warning
71,38,36,1.73,33,Switch,Datacenter,Warning
87,59,51,1.77,54,Firewall,HQ,Critical
56,93,32,4.53,95,Firewall,Branch Office,Critical
21,82,119,1.91,49,Firewall,Branch Office,Critical
38,76,58,4.93,46,Router,Datacenter,Critical
65,56,65,2.13,11,Firewall,HQ,Warning
36,83,49,1.36,10,Switch,Datacenter,Warning
63,63,19,0.34,42,Router,Branch Office,Healthy
85,70,61,0.41,23,Router,Branch Office,Warning
10,87,76,1.08,24,Switch,Datacenter,Warning
89,73,60,0.1,35,Router,Branch Office,Critical
47,81,71,2.7,78,Router,Datacenter,Warning
6,20,52,3.24,16,Switch,Datacenter,Critical
24,39,50,1.32,56,Switch,Branch Office,Warning
67,20,22,2.47,66,Firewall,Datacenter,Warning
30,44,120,3.85,79,Firewall,HQ,Critical
51,11,77,3.75,78,Switch,HQ,Critical
88,24,88,4.34,91,Switch,HQ,Critical
20,26,40,4.83,85,Router,HQ,Critical
24,48,52,0.3,86,Router,Branch Office,Healthy
5,63,67,1.94,37,Switch,HQ,Warning
36,11,33,3.9,93,Firewall,Datacenter,Critical
22,36,75,3.88,90,Switch,Branch Office,Critical
21,15,14,1.4,68,Firewall,Datacenter,Warning
41,67,3,1.54,12,Switch,Datacenter,Warning
57,48,61,1.77,86,Switch,HQ,Warning
43,86,60,1.56,96,Switch,Branch Office,Warning
16,90,10,4.9,24,Firewall,HQ,Critical
68,62,26,2.45,72,Router,Datacenter,Warning
83,46,66,4.73,49,Firewall,HQ,Critical
50,15,39,3.49,40,Router,Branch Office,Critical
19,21,92,1.81,91,Firewall,Datacenter,Critical
70,52,26,1.1,64,Router,HQ,Warning
83,77,39,4.03,49,Firewall,HQ,Critical
92,12,67,3.3,49,Switch,Branch Office,Critical
42,21,97,0.67,75,Firewall,Datacenter,Critical
84,50,78,1.55,54,Switch,HQ,Warning
81,84,53,0.31,65,Router,HQ,Warning
67,40,33,4.58,57,Firewall,Branch Office,Critical
10,63,117,2.13,77,Router,HQ,Critical
24,64,80,2.15,24,Switch,HQ,Warning
53,94,94,1.44,93,Switch,HQ,Critical
19,58,78,0.62,12,Firewall,HQ,Warning
75,89,118,4.4,90,Router,Branch Office,Critical
35,37,25,0.85,42,Firewall,HQ,Healthy
40,84,109,2.13,22,Router,Branch Office,Critical
9,35,59,3.8,43,Router,Datacenter,Critical
8,80,44,1.18,24,Switch,HQ,Warning
13,62,5,4.89,56,Firewall,Branch Office,Critical
92,51,35,2.84,30,Firewall,Branch Office,Critical
31,85,7,0.72,78,Firewall,Branch Office,Warning
15,50,43,0.08,72,Firewall,HQ,Healthy
82,21,91,2.48,18,Switch,Datacenter,Critical
18,81,54,2.81,71,Router,Datacenter,Warning
47,73,77,0.38,60,Firewall,Branch Office,Warning
90,62,38,2.58,93,Firewall,Datacenter,Critical
18,55,30,0.01,50,Router,Branch Office,Healthy
34,62,36,4.95,29,Switch,Datacenter,Critical
61,27,63,4.68,38,Switch,Datacenter,Critical
57,58,114,3.49,54,Firewall,HQ,Critical
40,45,47,2.31,74,Router,Branch Office,Warning
79,48,47,2.46,18,Switch,HQ,Warning
18,27,8,4.39,58,Firewall,HQ,Critical
17,72,41,1.19,52,Router,HQ,Warning
94,51,23,3.74,71,Switch,Datacenter,Critical
54,76,5,1.67,75,Router,Branch Office,Warning
5,38,106,2.72,22,Firewall,Branch Office,Critical
92,30,69,1.7,90,Router,Datacenter,Critical
72,63,39,3.89,83,Firewall,Datacenter,Critical
40,67,16,2.35,68,Switch,Branch Office,Warning
37,34,96,1.95,59,Router,HQ,Critical
8,78,80,0.46,67,Router,Branch Office,Warning
16,10,30,3.35,50,Router,HQ,Critical
16,85,97,0.05,65,Router,Datacenter,Critical
85,33,8,4.72,91,Firewall,Datacenter,Critical
14,26,50,2.15,16,Switch,HQ,Warning
68,84,94,0.13,50,Router,Branch Office,Critical
76,63,19,2.47,46,Firewall,Datacenter,Warning
91,85,22,4.17,64,Router,Branch Office,Critical
49,20,36,1.45,47,Firewall,Datacenter,Warning
85,74,92,2.82,98,Firewall,Datacenter,Critical
94,70,90,4.89,16,Firewall,Datacenter,Critical
30,62,56,2.06,87,Firewall,Branch Office,Warning
26,20,51,2.2,63,Router,Branch Office,Warning
14,67,119,3.87,39,Switch,Datacenter,Critical
92,60,55,1.44,29,Firewall,Branch Office,Critical
43,88,65,4.5,27,Firewall,HQ,Critical
19,59,15,1.33,48,Switch,HQ,Warning
39,71,17,0.67,15,Switch,Branch Office,Warning
61,56,107,1.07,82,Switch,HQ,Critical
57,72,97,3.9,96,Firewall,HQ,Critical
85,82,115,0.87,18,Router,Branch Office,Critical
44,40,77,0.05,57,Switch,Branch Office,Warning
35,32,14,4.9,95,Firewall,Branch Office,Critical
52,42,61,2.23,64,Firewall,Datacenter,Warning
60,20,66,2.37,74,Router,Datacenter,Warning
98,78,57,4.31,59,Firewall,Branch Office,Critical
65,29,110,1.63,41,Switch,Datacenter,Critical
41,92,110,3.37,43,Firewall,HQ,Critical
51,47,73,4.04,48,Firewall,HQ,Critical
48,31,64,1.38,55,Firewall,Datacenter,Warning
18,21,103,3.63,33,Firewall,Branch Office,Critical
55,11,5,4.86,95,Switch,Datacenter,Critical
28,52,75,3.11,31,Switch,HQ,Critical
81,37,35,0.86,85,Firewall,Datacenter,Warning
45,85,13,2.67,93,Router,Branch Office,Warning
26,56,28,0.53,34,Firewall,HQ,Healthy
88,17,20,2.64,65,Firewall,Datacenter,Critical
95,61,107,3.83,44,Router,HQ,Critical
90,76,91,3.6,26,Router,Branch Office,Critical
98,25,22,1.03,36,Switch,Branch Office,Critical
42,57,100,4.79,87,Firewall,HQ,Critical
21,45,47,4.98,71,Switch,Branch Office,Critical
98,57,26,3.4,31,Firewall,HQ,Critical
89,40,6,3.44,53,Firewall,HQ,Critical
80,44,112,0.65,81,Switch,HQ,Critical
10,51,62,0.15,63,Firewall,Datacenter,Warning
89,63,70,1.48,96,Router,Branch Office,Critical
54,67,78,2.18,97,Router,Datacenter,Warning
5,68,79,4.01,61,Switch,Datacenter,Critical
22,10,24,2.0,57,Router,Branch Office,Warning
71,79,28,1.76,64,Switch,Datacenter,Warning
10,70,29,1.05,66,Firewall,HQ,Warning
10,60,35,4.53,14,Router,Datacenter,Critical
36,71,6,4.63,28,Switch,Branch Office,Critical
6,49,41,0.75,82,Router,Datacenter,Healthy
26,18,116,2.14,67,Switch,Datacenter,Critical
56,30,100,1.66,56,Switch,Branch Office,Critical
71,24,47,2.15,52,Switch,HQ,Warning
61,11,18,2.79,35,Firewall,HQ,Warning
65,16,120,3.94,14,Switch,Branch Office,Critical
25,57,9,4.71,36,Switch,Branch Office,Critical
90,34,59,2.23,45,Firewall,Branch Office,Critical
58,63,74,3.88,92,Router,HQ,Critical
74,25,6,1.36,86,Switch,Datacenter,Warning
28,54,48,3.04,99,Router,HQ,Critical
71,69,1,1.67,46,Firewall,Datacenter,Warning
28,95,115,0.93,81,Firewall,Branch Office,Critical
85,48,109,3.94,97,Router,HQ,Critical
43,46,44,0.54,36,Switch,Datacenter,Healthy
54,56,24,2.42,72,Firewall,Branch Office,Warning
57,90,56,0.97,83,Firewall,HQ,Warning
55,45,111,3.66,63,Switch,Branch Office,Critical
72,74,100,0.57,66,Firewall,Branch Office,Critical
43,42,90,4.26,45,Router,Branch Office,Critical
57,64,21,4.36,60,Router,Datacenter,Critical
54,37,11,2.31,28,Router,HQ,Warning
65,10,91,2.04,89,Router,Branch Office,Critical
48,64,117,1.14,67,Router,HQ,Critical
44,47,35,3.72,29,Router,Datacenter,Critical
85,12,94,0.51,80,Router,HQ,Critical
96,64,33,4.75,16,Switch,Datacenter,Critical
50,73,75,1.72,86,Router,HQ,Warning
60,12,63,0.01,20,Router,Datacenter,Warning
41,70,100,1.25,36,Switch,Branch Office,Critical
13,85,51,2.53,42,Router,Datacenter,Warning
80,34,103,2.87,68,Router,HQ,Critical
57,26,111,3.94,79,Router,HQ,Critical
59,51,38,2.34,60,Firewall,HQ,Warning
46,95,2,2.37,38,Router,Datacenter,Critical
54,88,55,3.57,17,Router,HQ,Critical
95,25,86,1.79,83,Router,Branch Office,Critical
53,12,95,1.27,15,Router,Datacenter,Critical
53,39,84,4.93,21,Switch,Branch Office,Critical
65,49,88,0.26,52,Firewall,Branch Office,Warning
42,50,109,2.78,30,Router,Datacenter,Critical
86,12,83,0.71,81,Switch,Branch Office,Critical
25,20,49,1.98,47,Switch,Branch Office,Warning
63,35,90,0.06,29,Switch,Branch Office,Warning
36,39,21,2.21,67,Router,Branch Office,Warning
96,23,82,2.63,64,Firewall,Datacenter,Critical
44,72,32,4.94,70,Switch,Branch Office,Critical
94,11,101,4.41,36,Firewall,Datacenter,Critical
92,64,35,4.92,36,Firewall,Branch Office,Critical
76,88,85,4.84,42,Firewall,Datacenter,Critical
71,81,36,2.87,85,Firewall,Datacenter,Warning
33,57,83,0.15,23,Switch,Branch Office,Warning
57,50,65,0.48,63,Router,HQ,Warning
35,80,4,2.64,38,Firewall,Datacenter,Warning
28,50,8,1.8,14,Router,HQ,Warning
49,90,50,0.56,29,Router,Branch Office,Warning
82,13,110,0.51,19,Router,HQ,Critical
12,64,97,0.43,34,Firewall,HQ,Critical
28,45,66,1.82,19,Router,Datacenter,Warning
47,66,52,2.98,41,Switch,Branch Office,Warning
16,55,102,0.89,16,Router,HQ,Critical
63,37,55,3.08,90,Firewall,Datacenter,Critical
6,89,20,2.08,52,Firewall,Branch Office,Warning
26,74,78,3.7,85,Switch,HQ,Critical
48,13,3,0.12,70,Firewall,Datacenter,Healthy
38,94,25,3.24,40,Firewall,Datacenter,Critical
20,34,12,1.24,74,Firewall,Datacenter,Warning
16,43,86,3.83,48,Firewall,Datacenter,Critical
76,81,56,2.08,14,Router,Datacenter,Warning
16,85,14,0.61,85,Firewall,HQ,Warning
41,55,60,2.69,69,Switch,Datacenter,Warning
91,95,57,3.27,38,Switch,HQ,Critical
66,69,63,1.73,69,Router,Branch Office,Warning
59,57,30,0.3,29,Router,Branch Office,Healthy
95,80,120,3.62,63,Router,Branch Office,Critical
72,35,83,4.69,30,Firewall,HQ,Critical
76,19,69,1.23,22,Router,HQ,Warning
53,60,42,3.71,99,Switch,Datacenter,Critical
21,73,55,4.47,49,Firewall,Datacenter,Critical
47,11,94,3.54,52,Firewall,HQ,Critical
17,54,8,1.46,42,Firewall,Datacenter,Warning
8,76,31,3.75,88,Router,Datacenter,Critical
75,15,4,4.95,67,Firewall,HQ,Critical
13,76,35,1.04,49,Router,Datacenter,Warning
78,66,95,4.43,21,Router,Datacenter,Critical
6,22,84,0.08,65,Firewall,Datacenter,Warning
26,63,67,1.02,24,Switch,Datacenter,Warning
21,55,53,1.34,33,Switch,Datacenter,Warning
44,93,7,2.43,12,Router,HQ,Critical
12,29,81,1.15,83,Firewall,HQ,Warning
60,55,51,3.44,28,Switch,Branch Office,Critical
80,45,6,1.94,62,Firewall,HQ,Warning
69,74,29,0.99,34,Router,HQ,Warning
53,19,117,3.75,72,Switch,Datacenter,Critical
46,46,74,3.45,98,Router,Branch Office,Critical
52,46,13,3.34,91,Router,Datacenter,Critical
39,77,13,4.97,45,Firewall,Datacenter,Critical
27,92,74,3.52,23,Firewall,HQ,Critical
13,10,64,4.33,14,Switch,Datacenter,Critical
74,10,46,3.95,49,Switch,HQ,Critical
95,59,31,3.89,22,Firewall,HQ,Critical
9,50,47,2.83,13,Switch,Branch Office,Warning
98,77,97,0.18,78,Firewall,Branch Office,Critical
21,44,97,3.63,80,Firewall,HQ,Critical
8,95,63,4.49,96,Firewall,Branch Office,Critical
62,81,51,2.16,59,Router,Branch Office,Warning
30,55,119,4.39,18,Switch,HQ,Critical
84,56,102,1.17,39,Router,Branch Office,Critical
59,32,81,4.74,55,Switch,HQ,Critical
95,15,80,4.05,23,Firewall,Datacenter,Critical
97,35,30,1.78,86,Switch,HQ,Critical
8,19,80,4.76,70,Router,Branch Office,Critical
74,56,56,4.4,49,Firewall,Datacenter,Critical
28,18,94,4.96,69,Firewall,Branch Office,Critical
45,87,78,1.72,87,Firewall,HQ,Warning
57,46,106,4.14,76,Router,Branch Office,Critical
5,53,85,1.11,75,Router,Datacenter,Warning
89,58,91,0.3,98,Switch,Datacenter,Critical
6,11,53,4.95,64,Firewall,Datacenter,Critical
69,13,76,3.65,72,Firewall,Datacenter,Critical
14,41,12,2.1,40,Switch,Branch Office,Warning
88,68,80,1.1,59,Switch,HQ,Critical
70,47,83,1.94,34,Firewall,Datacenter,Warning
72,15,13,4.62,21,Firewall,HQ,Critical
8,29,116,4.16,47,Router,Branch Office,Critical
71,67,28,0.66,62,Switch,HQ,Warning
45,48,109,3.16,82,Firewall,HQ,Critical
66,31,44,3.73,46,Firewall,Datacenter,Critical
52,28,8,0.84,36,Firewall,HQ,Healthy
41,52,55,1.42,85,Router,Datacenter,Warning
78,35,96,2.74,28,Firewall,HQ,Critical
40,69,37,3.66,53,Router,Datacenter,Critical
77,75,119,1.44,28,Switch,Branch Office,Critical
22,84,104,0.92,13,Switch,HQ,Critical
84,14,43,4.5,58,Firewall,Branch Office,Critical
34,87,103,1.75,73,Firewall,HQ,Critical
26,86,102,4.32,59,Firewall,Branch Office,Critical
81,62,36,1.83,80,Switch,Datacenter,Warning
34,31,65,2.64,52,Firewall,Datacenter,Warning
54,53,12,3.01,43,Router,HQ,Critical
48,64,58,3.04,33,Router,Datacenter,Critical
39,15,61,3.99,72,Firewall,HQ,Critical
31,41,26,2.52,78,Router,HQ,Warning
51,93,104,3.23,10,Router,Branch Office,Critical
43,38,85,4.64,80,Router,HQ,Critical
37,68,81,1.74,81,Switch,Branch Office,Warning
54,77,83,3.7,94,Switch,HQ,Critical
90,67,110,1.77,77,Firewall,HQ,Critical
33,84,49,4.56,67,Firewall,HQ,Critical
14,39,37,0.63,82,Firewall,Datacenter,Healthy
95,45,104,4.53,36,Router,HQ,Critical
17,80,44,1.22,88,Firewall,Datacenter,Warning
25,22,111,2.35,67,Switch,HQ,Critical
83,79,24,2.86,61,Switch,Datacenter,Warning
71,65,57,2.45,48,Router,HQ,Warning
77,71,32,0.06,73,Router,Branch Office,Warning
52,26,24,0.49,51,Switch,Datacenter,Healthy
9,35,105,4.59,65,Switch,Datacenter,Critical
26,46,49,4.54,39,Firewall,HQ,Critical
69,22,80,2.34,97,Router,Branch Office,Warning
43,94,59,0.65,65,Switch,HQ,Critical
22,94,113,2.9,59,Firewall,Datacenter,Critical
25,60,28,1.48,33,Firewall,Datacenter,Warning
98,60,21,1.62,65,Switch,Branch Office,Critical
74,90,113,1.48,32,Router,Branch Office,Critical
80,25,118,3.95,88,Switch,HQ,Critical
92,31,96,2.02,60,Router,Branch Office,Critical
9,18,38,1.77,45,Firewall,HQ,Warning
84,37,18,1.12,91,Router,HQ,Warning
11,79,117,4.18,46,Firewall,Datacenter,Critical
70,47,76,0.95,93,Router,Datacenter,Warning
28,17,78,2.91,16,Router,Datacenter,Warning
25,30,111,2.86,45,Switch,Branch Office,Critical
8,64,114,2.37,16,Switch,HQ,Critical
64,50,70,4.52,11,Router,HQ,Critical
23,80,65,4.1,80,Router,Branch Office,Critical
78,19,109,3.71,36,Switch,HQ,Critical
45,61,16,3.54,10,Router,Datacenter,Critical
78,19,28,4.73,33,Switch,Datacenter,Critical
58,92,9,2.77,68,Router,Datacenter,Critical
24,27,100,3.21,97,Switch,Datacenter,Critical
27,72,117,3.91,95,Switch,HQ,Critical
18,18,24,0.13,58,Firewall,Branch Office,Healthy
30,89,76,1.42,64,Router,Datacenter,Warning
9,14,104,3.2,61,Switch,Datacenter,Critical
23,65,85,2.21,33,Switch,Branch Office,Warning
64,53,64,4.28,74,Router,HQ,Critical
65,35,31,2.59,84,Switch,Datacenter,Warning
58,48,35,3.68,41,Firewall,Branch Office,Critical
71,41,92,3.87,49,Switch,Branch Office,Critical
96,12,1,1.67,99,Router,HQ,Critical
87,57,101,3.47,45,Firewall,HQ,Critical
76,66,30,0.72,54,Firewall,Branch Office,Warning
90,32,17,3.16,52,Firewall,Datacenter,Critical
94,13,99,2.5,37,Switch,HQ,Critical
67,29,99,2.58,98,Firewall,Branch Office,Critical
84,39,40,0.74,58,Switch,HQ,Warning
25,84,19,2.07,29,Router,Datacenter,Warning
13,31,90,4.01,38,Firewall,Branch Office,Critical
80,25,26,4.68,21,Switch,Branch Office,Critical
60,18,116,1.75,66,Router,HQ,Critical
25,66,75,3.24,96,Firewall,Branch Office,Critical
92,59,71,1.77,23,Switch,HQ,Critical
33,21,35,1.33,100,Router,HQ,Warning
81,64,112,4.24,23,Switch,HQ,Critical
68,20,90,2.2,78,Firewall,Datacenter,Warning
37,13,110,3.14,36,Firewall,Branch Office,Critical
76,63,23,4.77,82,Firewall,Branch Office,Critical
47,64,116,2.05,79,Switch,Datacenter,Critical
24,23,26,2.1,96,Router,Datacenter,Warning
24,39,32,3.89,39,Router,Branch Office,Critical
13,54,5,4.48,94,Router,Datacenter,Critical
52,48,81,2.84,48,Router,HQ,Warning
30,65,51,2.01,34,Firewall,Datacenter,Warning
78,18,46,4.9,28,Firewall,Datacenter,Critical
64,23,95,2.98,31,Switch,HQ,Critical
88,43,89,4.47,74,Firewall,Branch Office,Critical
57,12,34,3.06,53,Firewall,Datacenter,Critical
86,40,52,2.2,62,Router,Datacenter,Critical
81,59,6,4.19,14,Firewall,Datacenter,Critical
72,91,61,3.24,43,Firewall,HQ,Critical
36,48,84,0.98,24,Firewall,HQ,Warning
56,23,94,1.02,26,Switch,Datacenter,Critical
